blz,bic
20089200,DRESDEFFI06
20090400,DGHYDEH1XXX
20090700,EDEKDEHHXXX
20090745,EDEKDEHHXXX
20090900,GENODEF1P08
20110022,PBNKDEFFXXX
20110700,BOTKDEH1XXX
20110800,BKCHDEFFHMB
20120000,BEGODEHHXXX
20120100,WBWCDEHHXXX
20120200,BHFBDEFF200
20120400,DRBKDEH1XXX
20120520,BFSWDE33HAN
20120600,GOGODEH1XXX
20120700,HSTBDEHHXXX
20130400,GREBDEH1XXX
20130600,BARCDEHAXXX
20133300,SCFBDE33XXX
20190003,GENODEF1HH2
20190077,GENODEF1HH2
20190109,GENODEF1HH4
20190206,GENODEF1HH1
20190301,GENODEF1HH3
20190800,GENODEF1MKB
20210200,MELIDEHHXXX
20210300,SIHRDEH1HAM
20220100,DNBADEHXXXX
20220800,SXPYDEHHXXX
20230300,OSCBDEH1XXX
20230600,ISBKDEFXXXX
20230800,MHSBDEHBXXX
20310300,EIHBDEHHXXX
20690500,GENODEF1S11
20730001,HYVEDEMME01
20730002,HYVEDEMME02
20730003,HYVEDEMME03
20730004,HYVEDEMME04
20730005,HYVEDEMME05
20730006,HYVEDEMME06
20730007,HYVEDEMME07
20730008,HYVEDEMME08
20730009,HYVEDEMME09
20730010,HYVEDEMME10
20730011,HYVEDEMME11
20730012,HYVEDEMME12
20730013,HYVEDEMME13
20730014,HYVEDEMME14
20730015,HYVEDEMME15
20730016,HYVEDEMME16
20730017,HYVEDEMME17
20730018,HYVEDEMME18
20730019,HYVEDEMME19
20730020,HYVEDEMME20
20730021,HYVEDEMME21
20730022,HYVEDEMME22
20730023,HYVEDEMME23
20730024,HYVEDEMME24
20730025,HYVEDEMME25
20730026,HYVEDEMME26
20730027,HYVEDEMME27
20730028,HYVEDEMME28
20730029,HYVEDEMME29
20730030,HYVEDEMME30
20730031,HYVEDEMME31
20730032,HYVEDEMME32
20730033,HYVEDEMME33
20730034,HYVEDEMME34
20730035,HYVEDEMME35
20730036,HYVEDEMME36
20730037,HYVEDEMME37
20730038,HYVEDEMME38
20730039,HYVEDEMME39
20730040,HYVEDEMME40
20730041,HYVEDEMME41
20730042,HYVEDEMME42
20730043,HYVEDEMME43
20730044,HYVEDEMME44
20730045,HYVEDEMME45
20730046,HYVEDEMME46
20730047,HYVEDEMME47
20730048,HYVEDEMME48
20730049,HYVEDEMME49
20730050,HYVEDEMME50
20730052,HYVEDEMME52
20730055,HYVEDEMME55
20730056,HYVEDEMME56
20730057,HYVEDEMME57
20730058,HYVEDEMME58
20730059,HYVEDEMME59
20730060,HYVEDEMME60
20730061,HYVEDEMME61
20730062,HYVEDEMME62
20730063,HYVEDEMME63
20730064,HYVEDEMME64
20730065,HYVEDEMME65
20730066,HYVEDEMME66
20730067,HYVEDEMME67
20730068,HYVEDEMME68
20730069,HYVEDEMME69
20730070,HYVEDEMME70
20730071,HYVEDEMME71
20730072,HYVEDEMME72
20730073,HYVEDEMME73
20730074,HYVEDEMME74
20730075,HYVEDEMME75
20730076,HYVEDEMME76
20730077,HYVEDEMME77
20730078,HYVEDEMME78
20730079,HYVEDEMME79
20730080,HYVEDEMME80
20730081,HYVEDEMME81
20730082,HYVEDEMME82
20730083,HYVEDEMME83
20730084,HYVEDEMME84
20730085,HYVEDEMME85
20730086,HYVEDEMME86
20730087,HYVEDEMME87
20730088,HYVEDEMME88
20730089,HYVEDEMME89
20730090,HYVEDEMME90
20730091,HYVEDEMME91
20730092,HYVEDEMME92
20730093,HYVEDEMME93
20730094,HYVEDEMME94
20730095,HYVEDEMME95
20730096,HYVEDEMME96
20730097,HYVEDEMME97
20730098,HYVEDEMME98
20730099,HYVEDEMME99
20750000,NOLADE21HAM
21020600,SYBKDE22KIE
21040010,COBADEFFXXX
21042076,COBADEFFXXX
21050000,HSHNDEHHXXX
21050055,HHDBDEH2XXX
21050170,NOLADE21KIE
21051275,NOLADE21BOR
21051580,NOLADE21PLN
21052090,NOLADE21ECK
21070020,DEUTDEHH210
21070020,DEUTDEHH214
21070024,DEUTDEDB210
21070024,DEUTDEDB214
21080050,DRESDEFF210
21089201,DRESDEFFI07
21090007,GENODEF1KIL
21090099,GENODEF1KIL
21090900,GENODEF1P11
21092023,GENODEF1EFO
21240040,COBADEFFXXX
21241540,COBADEFFXXX
21270020,DEUTDEHH212
21270024,DEUTDEDB212
21280002,DRESDEFF212
21290016,GENODEF1NMS
21340010,COBADEFFXXX
21352240,NOLADE21HOL
21390008,GENODEF1NSH
21392218,GENODEF1EUT
21440045,COBADEFFXXX
21450000,NOLADE21RDB
21451205,NOLADE21BDF
21452030,NOLADE21HWS
21463603,GENODEF1NTO
21464671,GENODEF1TOB
21480003,DRESDEFF214
21510600,SYBKDE22XXX
21520100,UNBNDE21XXX
21540060,COBADEFFXXX
21565316,GENODEF1HDW
21570011,DEUTDEHH215
21570011,DEUTDEHH216
21570024,DEUTDEDB215
21570024,DEUTDEDB216
21570202,DEUTDEHHP01
21570224,DEUTDEDBP01
21580000,DRESDEFF215
21661719,GENODEF1RSL
21690020,GENODEF1SLW
21740043,COBADEFFXXX
21741674,COBADEFFXXX
21741825,COBADEFFXXX
21750000,NOLADE21NOS
21751230,NOLADE21BRD
21762550,GENODEF1HUM
21763542,GENODEF1BDS
21770011,DEUTDEHH217
21770024,DEUTDEDB217
21791805,GENODEF1SYL
21791906,GENODEF1WYK
21840078,COBADEFFXXX
21841328,COBADEFFXXX
21852310,NOLADE21WEB
21860418,GENODEF1RHE
