blz,city,ags,bank,pan
13070000,Wismar,13074087,Deutsche Bank,27707
13070000,Wittenberge,12070424,Deutsche Bank,27707
13070000,Wolgast,13075144,Deutsche Bank,27707
13070024,Rostock,13003000,Deutsche Bank,21707
13070024,Anklam,13075005,Deutsche Bank,21707
13070024,Bad Doberan,13072006,Deutsche Bank,21707
13070024,Barth,13073009,Deutsche Bank,21707
13070024,Bergen auf Rügen,13073010,Deutsche Bank,21707
13070024,Bützow,13072020,Deutsche Bank,21707
13070024,Demmin,13071029,Deutsche Bank,21707
13070024,Gadebusch,13074021,Deutsche Bank,21707
13070024,Greifswald,13075039,Deutsche Bank,21707
13070024,Grevesmühlen,13074026,Deutsche Bank,21707
13070024,Grimmen,13073035,Deutsche Bank,21707
13070024,Güstrow,13072043,Deutsche Bank,21707
13070024,Hagenow,13076060,Deutsche Bank,21707
13070024,Ludwigslust,13076090,Deutsche Bank,21707
13070024,Lübz,13076089,Deutsche Bank,21707
13070024,Malchin,13071092,Deutsche Bank,21707
13070024,Neubrandenburg,13071107,Deutsche Bank,21707
13070024,Neustrelitz,13071110,Deutsche Bank,21707
13070024,Parchim,13076108,Deutsche Bank,21707
13070024,Perleberg,12070296,Deutsche Bank,21707
13070024,Plau am See,13076114,Deutsche Bank,21707
13070024,Prenzlau,12073452,Deutsche Bank,21707
13070024,Ribnitz-Damgarten,13073075,Deutsche Bank,21707
13070024,Sassnitz,13073080,Deutsche Bank,21707
13070024,Schwerin,13004000,Deutsche Bank,21707
13070024,Stavenhagen,13071142,Deutsche Bank,21707
13070024,Stralsund,13073088,Deutsche Bank,21707
13070024,Templin,12073572,Deutsche Bank,21707
13070024,Teterow,13072106,Deutsche Bank,21707
13070024,Torgelow,13075131,Deutsche Bank,21707
13070024,Ueckermünde,13075136,Deutsche Bank,21707
13070024,Waren (Müritz),13071156,Deutsche Bank,21707
13070024,Wismar,13074087,Deutsche Bank,21707
13070024,Wittenberge,12070424,Deutsche Bank,21707
13070024,Wolgast,13075144,Deutsche Bank,21707
13070405,Schwerin,13004000,Postbank/DSL Ndl der Deutsche Bank,27405
13070424,Schwerin,13004000,Postbank/DSL Ndl der Deutsche Bank,21405
13080000,Rostock,13003000,Commerzbank vormals Dresdner Bank,28130
13090000,Rostock,13003000,Rostocker Volks- und Raiffeisenbank -alt-,91063
13090000,Rostock,13003000,Rostocker Volks- und Raiffeisenbank (Gf P2),81063
13091054,Stralsund,13073088,Volksbank Vorpommern,91054
13091054,Stralsund,13073088,Volksbank Vorpommern (Gf P2),81054
13091084,Wismar,13074087,Volksbank Wismar -alt-,
14040000,Schwerin,13004000,Commerzbank,24140
14040000,Parchim,13076108,Commerzbank,24140
14051000,Wismar,13074087,Sparkasse Mecklenburg-Nordwest,51499
14051000,Bad Kleinen,13074002,Sparkasse Mecklenburg-Nordwest,51499
14051000,Dassow,13074017,Sparkasse Mecklenburg-Nordwest,51499
14051000,Dorf Mecklenburg,13074019,Sparkasse Mecklenburg-Nordwest,51499
14051000,Gadebusch,13074021,Sparkasse Mecklenburg-Nordwest,51499
14051000,Grevesmühlen,13074026,Sparkasse Mecklenburg-Nordwest,51499
14051000,Klütz,13074039,Sparkasse Mecklenburg-Nordwest,51499
14051000,Neukloster,13074057,Sparkasse Mecklenburg-Nordwest,51499
14051000,Ostseebad Boltenhagen,13074010,Sparkasse Mecklenburg-Nordwest,51499
14051000,Rehna,13074065,Sparkasse Mecklenburg-Nordwest,51499
14051000,Schönberg,13074074,Sparkasse Mecklenburg-Nordwest,51499
14051000,Warin,13074084,Sparkasse Mecklenburg-Nordwest,51499
14051362,Parchim,13076108,Sparkasse Parchim-Lübz,51404
14051462,Schwerin,13004000,Sparkasse Schwerin -alt-,51409
14052000,Schwerin,13004000,Sparkasse Mecklenburg-Schwerin,51498
14052000,Boizenburg,13076014,Sparkasse Mecklenburg-Schwerin,51498
14052000,Dömitz,13076034,Sparkasse Mecklenburg-Schwerin,51498
14052000,Eldena,13076037,Sparkasse Mecklenburg-Schwerin,51498
14052000,Grabow,13076050,Sparkasse Mecklenburg-Schwerin,51498
14052000,Hagenow,13076060,Sparkasse Mecklenburg-Schwerin,51498
14052000,Ludwigslust,13076090,Sparkasse Mecklenburg-Schwerin,51498
14052000,Lübtheen,13076088,Sparkasse Mecklenburg-Schwerin,51498
14052000,Malliß,13076094,Sparkasse Mecklenburg-Schwerin,51498
14052000,Neu Kaliß,13076103,Sparkasse Mecklenburg-Schwerin,51498
14052000,Neustadt-Glewe,13076105,Sparkasse Mecklenburg-Schwerin,51498
14052000,Pampow,13076107,Sparkasse Mecklenburg-Schwerin,51498
14052000,Vellahn,13076142,Sparkasse Mecklenburg-Schwerin,51498
14052000,Wittenburg,13076152,Sparkasse Mecklenburg-Schwerin,51498
14052000,Wöbbelin,13076156,Sparkasse Mecklenburg-Schwerin,51498
14052000,Zarrentin am Schaalsee,13076159,Sparkasse Mecklenburg-Schwerin,51498
14061308,Rostock,13003000,VR Bank Mecklenburg,61289
14061308,Brüel,13076020,VR Bank Mecklenburg,61289
14061308,Bützow,13072020,VR Bank Mecklenburg,61289
14061308,Dabel,13076026,VR Bank Mecklenburg,61289
14061308,Dobbertin,13076032,VR Bank Mecklenburg,61289
14061308,Goldberg,13076048,VR Bank Mecklenburg,61289
14061308,Güstrow,13072043,VR Bank Mecklenburg,61289
14061308,Krakow am See,13072056,VR Bank Mecklenburg,61289
14061308,Laage,13072062,VR Bank Mecklenburg,61289
14061308,Lalendorf,13072063,VR Bank Mecklenburg,61289
14061308,Lübz,13076089,VR Bank Mecklenburg,61289
14061308,Plau am See,13076114,VR Bank Mecklenburg,61289
14061308,Rostock,13003000,VR Bank Mecklenburg (Gf P2),71289
14061308,Schwaan,13072095,VR Bank Mecklenburg,61289
14061308,Sternberg,13076128,VR Bank Mecklenburg,61289
14061308,Warin,13074084,VR Bank Mecklenburg,61289
14061438,Gadebusch,13074021,Raiffeisen-Volksbank -alt-,61311
14080000,Schwerin,13004000,Commerzbank vormals Dresdner Bank,28140
14080000,Parchim,13076108,Commerzbank vormals Dresdner Bank,28140
14080000,Wismar,13074087,Commerzbank vormals Dresdner Bank,28140
14080011,Schwerin,13004000,Commerzbank vormals Dresdner Bank Zw W,
14091464,Schwerin,13004000,VR-Bank -alt-,91044
14091464,Ludwigslust,13076090,VR-Bank,91044
14091464,Parchim,13076108,VR-Bank Schwerin,91044
14091464,Schwerin,13004000,VR-Bank (Gf P2),81044
15000000,Neubrandenburg,13071107,Bundesbank,20150
15040068,Neubrandenburg,13071107,Commerzbank,24151
15040068,Bergen auf Rügen,13073010,Commerzbank,24151
15040068,Greifswald,13075039,Commerzbank,24151
15040068,Pasewalk,13075105,Commerzbank,24151
15040068,Stralsund,13073088,Commerzbank,24151
15040068,Waren (Müritz),13071156,Commerzbank,24151
15050100,Waren (Müritz),13071156,Müritz-Sparkasse,51514
15050200,Neubrandenburg,13071107,Sparkasse Neubrandenburg-Demmin,51515
15050200,Altentreptow,13071004,Sparkasse Neubrandenburg-Demmin,51515
15050200,Dargun,13071027,Sparkasse Neubrandenburg-Demmin,51515
15050200,Demmin,13071029,Sparkasse Neubrandenburg-Demmin,51515
15050200,Malchin,13071092,Sparkasse Neubrandenburg-Demmin,51515
15050200,Neukalen,13071109,Sparkasse Neubrandenburg-Demmin,51515
15050200,Stavenhagen,13071142,Sparkasse Neubrandenburg-Demmin,51515
15050400,Pasewalk,13075105,Sparkasse Uecker-Randow,51598
15050500,Greifswald,13075039,Sparkasse Vorpommern,51597
15050500,Anklam,13075005,Sparkasse Vorpommern,51597
15050500,Barth,13073009,Sparkasse Vorpommern,51597
15050500,Born,13073012,Sparkasse Vorpommern,51597
15050500,Franzburg,13073024,Sparkasse Vorpommern,51597
15050500,Grimmen,13073035,Sparkasse Vorpommern,51597
15050500,Karlshagen,13075058,Sparkasse Vorpommern,51597
15050500,Koserow,13075066,Sparkasse Vorpommern,51597
15050500,Marlow,13073055,Sparkasse Vorpommern,51597
15050500,Ostseebad Prerow,13073067,Sparkasse Vorpommern,51597
15050500,Ostseebad Wustrow,13073103,Sparkasse Vorpommern,51597
15050500,Ribnitz-Damgarten,13073075,Sparkasse Vorpommern,51597
15050500,Seebad Ahlbeck,13075001,Sparkasse Vorpommern,51597
15050500,Stralsund,13073088,Sparkasse Vorpommern,51597
15050500,Usedom,13075137,Sparkasse Vorpommern,51597
15050500,Wolgast,13075144,Sparkasse Vorpommern,51597
15050500,Zingst,13073105,Sparkasse Vorpommern,51597
15050500,Zinnowitz,13075151,Sparkasse Vorpommern,51597
15051732,Neustrelitz,13071110,Sparkasse Mecklenburg-Strelitz,51512
15051732,Burg Stargard,13071021,Sparkasse Mecklenburg-Strelitz,51512
15051732,Feldberger Seenlandschaft,13071033,Sparkasse Mecklenburg-Strelitz Gs,51512
15051732,Friedland,13071035,Sparkasse Mecklenburg-Strelitz,51512
15051732,Mirow,13071099,Sparkasse Mecklenburg-Strelitz Gs,51512
15051732,Wesenberg,13071159,Sparkasse Mecklenburg-Strelitz Gs,51512
