idx,last_name
1802,Langbein
1803,Lange
1804,Langen
1805,Langenbach
1806,Langer
1807,Langguth
1808,Langhammer
1809,Langhans
1810,Langner
1811,Lannert
1812,Lanz
1813,Larenzi
1814,Larsen
1815,Laskowski
1816,Lau
1817,Laub
1818,Laube
1819,Lauber
1820,Laue
1821,Lauer
1822,Laufer
1823,Laumann
1824,Lautenschläger
1825,Lauterbach
1826,Laux
1827,Lay
1828,Leber
1829,Lechner
1830,Leder
1831,Lederer
1832,Lehmann
1833,Lehmkuhl
1834,Lehnen
1835,Lehner
1836,Lehnert
1837,Lehr
1838,Leibold
1839,Leicht
1840,Leinweber
1841,Leipold
1842,Leis
