bic_8,bic,bank
CSFBSGSX,CSFBSGSXXXX,CREDIT SUISSE (SINGAPORE) LIMITED
CSPBSGSG,CSPBSGSGXXX,UBS AG SINGAPORE BRANCH
CTBASGSG,CTBASGSGXXX,COMMONWEALTH BANK OF AUSTRALIA
CTCBSGSG,CTCBSGSG006,"CTBC BANK CO., LTD. SINGAPORE BRANCH"
CTCBSGSG,CTCBSGSGXXX,"CTBC BANK CO., LTD. SINGAPORE BRANCH"
CUDPSGS2,CUDPSGS2XXX,CURRENCIES DIRECT PTE LTD
CYSSSGS1,CYSSSGS1XXX,CYS EXPRESS EXCHANGE PTE LTD
CZNBSGSG,CZNBSGSGXXX,"KOOKMIN BANK CO.,LTD. SINGAPORE BRANCH"
DASMSGSG,DASMSGSGXXX,DAIWA CAPITAL MARKETS SINGAPORE LIMITED
DASPSGS1,DASPSGS1XXX,RHB SECURITIES SINGAPORE PTE LTD
DAWSSGS1,DAWSSGS1XXX,DAIWA CAPITAL MARKETS INVESTMENT SERVICES PTE LTD
DBCISGS1,DBCISGS1XXX,DBS CAPITAL INVESTMENTS LTD
DBSESGSG,DBSESGSGXXX,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD
DBSNSGS1,DBSNSGS1XXX,DBSN SERVICES PTE LTD.
DBSSSGS2,DBSSSGS2XXX,DBS BANK LTD
DBSSSGSG,DBSSSGSGAPI,DBS BANK LTD
DBSSSGSG,DBSSSGSGDOD,DBS BANK LTD
DBSSSGSG,DBSSSGSGDRV,DBS BANK LTD
DBSSSGSG,DBSSSGSGIBD,DBS BANK LTD
DBSSSGSG,DBSSSGSGLAO,DBS BANK LTD
DBSSSGSG,DBSSSGSGPCG,DBS BANK LTD
DBSSSGSG,DBSSSGSGVEC,DBS BANK LTD
DBSSSGSG,DBSSSGSGXXX,DBS BANK LTD
DEUTSGSG,DEUTSGSGCUS,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DEUTSGSG,DEUTSGSGDIA,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DEUTSGSG,DEUTSGSGGMO,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DEUTSGSG,DEUTSGSGSRV,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DEUTSGSG,DEUTSGSGXXX,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DEUTSGSP,DEUTSGSPHKH,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DEUTSGSP,DEUTSGSPXXX,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DEUTSGSR,DEUTSGSREBP,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DEUTSGSR,DEUTSGSRXXX,"DEUTSCHE BANK AG, SINGAPORE BRANCH"
DICMSGS1,DICMSGS1XXX,DAIWA INTERNATIONAL CAPITAL MANAGEM ENT (SINGAPORE) LIMITED
DMACSG31,DMACSG31XXX,DYMON ASIA CAPITAL
DMACSGS1,DMACSGS1XXX,DYMON ASIA CAPITAL
EBILSGSG,EBILSGSGXXX,EMIRATES NBD BANK (P.J.S.C.)
EBPPSGS2,EBPPSGS2XXX,EBURY PAYMENTS PTE. LTD
ECMPSGS1,ECMPSGS1XXX,EFFISSIMO CAPITAL MANAGEMENT PTE LTD
ECQLSGS1,ECQLSGS1XXX,ELLIOTT AND CARMEN INTERNATIONAL LLP
EFGBSGSG,EFGBSGSGXXX,EFG BANK AG SINGAPORE BRANCH
ESINSGS2,ESINSGS2XXX,EASTSPRING INVESTMENTS SINGAPORE LIMITED
ESINSGS3,ESINSGS3XXX,EASTSPRING INVESTMENTS SINGAPORE LIMITED
ESSESGSG,ESSESGSGCLS,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)
ESSESGSG,ESSESGSGXXX,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)
ESUNSGSG,ESUNSGSGPBX,"E.SUN COMMERCIAL BANK, LTD."
ESUNSGSG,ESUNSGSGXXX,"E.SUN COMMERCIAL BANK, LTD."
EXIKSGSG,EXIKSGSGXXX,KEXIM GLOBAL (SINGAPORE) LTD.
FCBKSGSG,FCBKSGSGXXX,"FIRST COMMERCIAL BANK, LTD."
FFMCSGSG,FFMCSGSGXXX,FULLERTON FUND MANAGEMENT COMPANY LTD
FGBMSGSG,FGBMSGSGLAU,FIRST ABU DHABI BANK PJSC SINGAPORE BRANCH
FGBMSGSG,FGBMSGSGXXX,FIRST ABU DHABI BANK PJSC SINGAPORE BRANCH
FGCISGS1,FGCISGS1XXX,"ABN AMRO CLEARING BANK N.V., SINGAPORE BRANCH"
FIISSGS1,FIISSGS1XXX,FIDELITY INVESTMENTS (SINGAPORE) LT D
FNTPSGS2,FNTPSGS2XXX,FINMO TECH PTE. LTD.
FOMPSGS2,FOMPSGS2XXX,FOMO PAY PTE. LTD.
FOMPSGSG,FOMPSGSGXXX,FOMO PAY PTE. LTD.
FRIPSGS1,FRIPSGS1XXX,FITCH RATINGS SINGAPORE PTE LTD.
FRSESGS1,FRSESGS1XXX,KGI SECURITIES (SINGAPORE) PTE.LTD
GANSSGS1,GANSSGS1XXX,GALENA ASSET MANAGEMENT (ASIA) PTE . LTD
GCSPSGS1,GCSPSGS1XXX,GORDIAN CAPITAL SINGAPORE PRIVATE LIMITED
GELASGSG,GELASGSGXXX,THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED
GENOSGSG,GENOSGSGXXX,"DZ BANK AG, SINGAPORE BRANCH"
GKGTSGS1,GKGTSGS1XXX,CGS INTERNATIONAL SECURITIES SINGAPORE PTE. LTD.
GLASSGSG,GLASSGSGXXX,GLAS TRUST (SINGAPORE) LTD.
GLDTSGSG,GLDTSGSGXXX,GREEN LINK DIGITAL BANK PTE LTD
GOOGSGS1,GOOGSGS1XXX,GOOGLE ASIA PACIFIC PTE LTD
GOSESGS1,GOSESGS1XXX,GRAND ORIENT SECURITIES PTE
GPNTSGSG,GPNTSGSGXXX,GPAY NETWORK (S) PTE LTD
GSENSGS1,GSENSGS1XXX,GOLDMAN SACHS ASSET MANAGEMENT (SINGAPORE) PTE. LTD.
GSFESGS1,GSFESGS1XXX,GOLDMAN SACHS FOREIGN EXCHANGE
GSFSSGS1,GSFSSGS1XXX,GOLDMAN SACHS FUTURES PTE LTD.
GSHISGS1,GSHISGS1XXX,GOLDMAN SACHS HOLDINGS (SINGAPORE) PTE. LTD.
GSICSGSG,GSICSGSGBAC,GIC PRIVATE LIMITED
GSICSGSG,GSICSGSGCAC,GIC PRIVATE LIMITED
GSICSGSG,GSICSGSGHAC,GIC PRIVATE LIMITED
GSICSGSG,GSICSGSGXXX,GIC PRIVATE LIMITED
GSSCSGS1,GSSCSGS1XXX,GOLDMAN SACHS ASIA STRATEGIC PTE. LTD.
GSSGSGSG,GSSGSGSGXXX,GOLDMAN SACHS (SINGAPORE) PTE
GSSOSGS1,GSSOSGS1XXX,GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.
GTMGSGS1,GTMGSGS1XXX,INVESCO ASSET MANAGEMENT SINGAPORE PTE LIMITED
GTNSSGS2,GTNSSGS2XXX,GTN ASIA FINANCIAL SERVICES (PTE.) LTD
GXSPSGSG,GXSPSGSG888,GXS BANK PTE. LTD.
GXSPSGSG,GXSPSGSGXXX,GXS BANK PTE. LTD.
HABBSGSG,HABBSGSGXXX,HABIB BANK LIMITED
HABKSGSG,HABKSGSGXXX,"THE HACHIJUNI BANK, LTD. SINGAPORE BRANCH"
HAMASGS2,HAMASGS2XXX,"THE BANK OF YOKOHAMA, LTD. SINGAPORE BRANCH"
HASESGSG,HASESGSGXXX,HANG SENG BANK LIMITED
HDFCSGSG,HDFCSGSGXXX,HDFC BANK LIMITED
HEFPSG22,HEFPSG22XXX,8HEXA FINANCIAL PTE. LTD.
HIEESGSG,HIEESGSGXXX,INTERNATIONAL EXCHANGE CO (SINGAPORE) PTE LTD
HITPSGS2,HITPSGS2XXX,HITPAY PAYMENT SOLUTIONS PTE. LTD.
HJCSSGSG,HJCSSGSGXXX,HSBC SECURITIES (SINGAPORE) PTE LTD
HLBBSGSG,HLBBSGSGXXX,"HL BANK, SINGAPORE"
HLFASGSG,HLFASGSGXXX,HONG LEONG FINANCE LIMITED
HNBKSGSG,HNBKSGSGXXX,HUA NAN COMMERCIAL BANK LTD
HSBCSGS2,HSBCSGS2GPI,HSBC BANK (SINGAPORE) LIMITED
HSBCSGS2,HSBCSGS2XXX,HSBC BANK (SINGAPORE) LIMITED
HSBCSGSG,HSBCSGSGBLC,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGCLS,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGCNC,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGFEX,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGGPI,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGGWS,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGISV,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGPBD,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGWBS,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCSGSG,HSBCSGSGXXX,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSMSSGS1,HSMSSGS1XXX,HSBC ASSET MANAGEMENT SINGAPORE LTD
HSNTSGSG,HSNTSGSGXXX,HUATAI SECURITIES (SINGAPORE) PTE. LIMITED
HVBKSGSG,HVBKSGSGXXX,"WOORI BANK, SINGAPORE"
HVPASGS1,HVPASGS1XXX,HAVENPORT INVESTMENTS PTE. LTD
IASISGS1,IASISGS1XXX,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
IBKRSGSG,IBKRSGSGXXX,INTERACTIVE BROKERS SINGAPORE PTE. LTD.
ICBCSGSG,ICBCSGSGXXX,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD., SINGAPORE BRANCH"
ICBKSGSG,ICBKSGSGCLR,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED
ICBKSGSG,ICBKSGSGXXX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED
ICICSGSG,ICICSGSGCOP,ICICI BANK LIMITED
ICICSGSG,ICICSGSGCTS,ICICI BANK LIMITED
ICICSGSG,ICICSGSGIPB,ICICI BANK LIMITED
ICICSGSG,ICICSGSGMOG,ICICI BANK LIMITED
ICICSGSG,ICICSGSGRET,ICICI BANK LIMITED
ICICSGSG,ICICSGSGXXX,ICICI BANK LIMITED
ICIPSGSG,ICIPSGSGXXX,ICE CLEAR SINGAPORE PTE LTD
IDIBSGSG,IDIBSGSGXXX,"INDIAN BANK, SINGAPORE BRANCH"
IGLUSGSG,IGLUSGSGXXX,STONEX FINANCIAL PTE. LTD.
IISTSGS1,IISTSGS1XXX,GS INDIA INVESTMENTS (SINGAPORE) PTE LTD
INGBSGSG,INGBSGSGXXX,ING BANK N.V. SINGAPORE BRANCH
INGPSGSG,INGPSGSGXXX,BANK OF SINGAPORE LIMITED
INLLSGS1,INLLSGS1XXX,VICKERS CAPITAL PTE. LTD
IOBASGSG,IOBASGSGXXX,INDIAN OVERSEAS BANK
IPPPSGS1,IPPPSGS1XXX,INVESTMENT PROTECTION PLANNING PTE LTD
IRVTSGSX,IRVTSGSXXXX,THE BANK OF NEW YORK MELLON
ISPTSGSA,ISPTSGSAXXX,NIUM PTE. LTD.
ISPTSGSG,ISPTSGSGXXX,NIUM PTE. LTD.
ISSPSGS1,ISSPSGS1XXX,INSTINET SINGAPORE SERVICES PTE LTD
IVCPSGS1,IVCPSGS1XXX,HIGHER PARK PTE. LIMITED
IVHPSGS1,IVHPSGS1XXX,IVENIO HOLDINGS PTE LTD
IYOBSGSG,IYOBSGSGXXX,"THE IYO BANK, LTD. SINGAPORE BRANCH"
JFSSSGS1,JFSSSGS1XXX,J.P. MORGAN SECURITIES SINGAPORE PRIVATE LIMITED
JGRPSGS1,JGRPSGS1XXX,CGS-CIMB RESEARCH PTE. LTD
